"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"LEUCINE",-0.0993205156573772,-0.0245037483276733,0.046326945612892,-0.0545121699146459,-0.033397562871709,-0.00411039061869524,-0.0257843875038181,0.00629367764542286,-0.0200956276724222,-0.0933952342549924,-0.128327983725987,-0.0673468778930773,-0.0202338077461072,-0.120208206920637,0.10348225547307,0.000911373368215285
"LUMICHROME",-0.0447909485692858,-0.0110055351800848,0.341719325955752,0.11212673285653,0.132688402185511,-0.238010385532199,-0.119907735269653,-0.0656139652006509,0.142808539116683,0.16801216380333,-0.0865300145548866,0.145689846081002,-0.203764174048535,-0.0315092404795692,-0.0720870751638259,0.127311737269501
"METHIONINE",-0.00205077606507895,-0.000872650065011794,0.00712723821759443,-0.0175211614414646,-0.0646887635831625,-0.10454714598159,0.0319705469940858,-0.102144569957102,-0.0773361410354613,0.0150941199993067,0.0171759255433166,-0.08603375827565,-0.115338145745643,0.0364155236786184,0.0411240663840624,-0.0289226000997517
"METHYLTHIOADENOSINE",0.013072083232035,0.013020652702648,-0.0463978658799583,0.13991856458926,-0.0663577589585276,0.0254068789283264,-0.0702822443044912,0.0860604570259825,0.147791391638211,-0.0191672367384891,0.00997765395442789,0.0962871623435262,0.0220814872583803,-0.0513739823981189,-0.046027597947259,0.0186515968138308
"N-ACETYLPROLINE",-0.0337378132292637,-0.0112850666988247,0.192120905942243,0.0338378426164839,0.0135222895358695,-0.0729313254847642,0.0412552905153682,-0.129254655286454,0.13786956458869,-0.0668852074449517,0.0320238585978416,0.0952888523779665,0.0349842691547224,0.0612819805982919,-0.0395763818409621,0.0151511670949153
"N-ACETYLPUTRESCINE",0.150097900922677,0.146528512582211,0.026916714692551,-0.0183597328344998,0.0565962666328353,0.0582887982111083,-0.100276508250419,-0.090283913063776,-0.0423719609055189,0.00800575683363316,0.0230310299825756,-0.0272758993050106,0.0945080464004001,-0.0801510280046096,0.0608128461007826,0.0163166232686888
"N-ALPHA-ACETYLLYSINE",0.0127188248384873,0.172974497251896,0.0762852952868705,0.0750738499863593,0.0615038976402076,-0.0684148946025953,0.0818444663482033,-0.0787407662467374,0.00464068151632464,-0.0196429900530104,-0.0651138166467835,-0.19730972251528,-0.0198079220615839,-0.0128247169452176,0.0667027253148674,-0.118990451930369
"N-METHYLGLUTAMATE",0.0735317058093573,-0.0673067610507591,0.0325597683714221,-0.0638058017039813,0.020858025268138,0.0780032771519537,-0.0207446755657946,-0.0470282670029506,0.0275674501368311,-0.0776590947921685,-0.00832719456165665,0.020084042127327,-0.0241485415339859,-0.0712538272602068,0.119790867334234,-0.0513603151112939
"N,N-DIMETHYL-ARGININE",-0.155686560292325,0.0142735538244163,0.0573065093180094,-0.00171934671537789,-0.146710670404857,0.0583060147820403,0.131439072233317,0.0462332929641309,0.081885472453751,0.00637714705896514,0.0168224220973018,0.117735701753983,0.202320197879417,-0.0236459889305677,-0.11870487227294,0.019108884606743
"N,N,N-TRIMETHYLLYSINE",-0.0872970611302857,0.0091906983924667,0.0407952391797436,0.0457740169444662,-0.0398295071906125,0.0354592984887924,-0.00919459462362994,0.035752550902737,-0.139329085870597,0.0266657119700169,0.0656072505409078,0.00133515400425316,-0.0247509093235953,0.0586253656490971,-0.0509760972876473,-0.0843981111433836
"N1-ACETYLSPERMINE",0.359413159659941,-0.0554916656876528,-0.134739500422199,0.132876816207643,-0.0371960232885466,-0.0362337380561375,-0.0533470327013942,0.0347532264429005,-0.194940642062481,-0.0359027976085757,-0.0694041615396777,-0.167751589545791,0.0434273101199047,0.0265890659448299,-0.150507397582919,0.0255566355989953
"NICOTINAMIDE",0.0348853353634072,-0.038864769233964,0.156805640999115,-0.0216919604481482,0.014993128359649,-0.110013782657686,0.15755515784673,-0.137685104259803,-0.00331935071080755,0.0347708497893713,-0.00914745366607342,-0.00865810481136602,0.0354070155266586,0.201404659371173,0.00463521628180285,-0.105320763212499
"NICOTINAMIDE MONONUCLEOTIDE",0.0559996213348361,-0.120405250945413,-0.0292527463893062,-0.0393885906428134,0.152656797528801,-0.0125576247938291,-0.0651644692256644,0.0584032568861107,-0.00517716174511679,0.119354894579616,0.062658134403197,0.00462600633207213,-0.0038829767012742,0.0615488518837716,-0.0827320776668072,-0.129468189635573
"NICOTINATE",-0.00951378889501284,0.0140905886294062,0.0478684321320512,-0.0221730506193665,-0.0399878431294025,-0.0217221127491195,0.0493834353594135,0.0257274503078694,0.0484154481668484,0.00637481580593306,0.0988466186425892,-0.0373107869535379,0.0235834540504489,0.149601843027862,-0.126220706898008,-0.0857227797260862
"O-ACETYLCARNITINE",0.0889475678594553,-0.00117060521442192,-0.117719801432278,0.0108538434919604,-0.077323057955211,-0.103319077899925,-0.0186095483355376,0.041337002551928,0.107288548398805,-0.105694876337953,-0.0169614587504291,0.00690625577818414,0.161849177733518,-0.0155036962627782,-0.159885384702944,0.402127394154747
"OPHTHALMATE",-0.102751254552857,0.0436746945788606,0.00758235800834004,0.0553806706233584,0.03256383356478,-0.0135531701843902,-0.0739534629028564,-0.0135209870218722,0.146666893895004,-0.0463514381085673,0.0751261227059165,0.142289777304552,0.0485659386446443,0.249581874309661,-0.00701469987784631,0.00735309780449901
"ORNITHINE",-0.0796374029571671,0.0758858459581258,0.0679838290790551,-0.221535865479554,-0.189214542959284,0.0375995500261132,-0.553286241764088,0.0560059533056343,-0.0602668292667073,-0.127175867192539,0.0105959590591343,-0.0300357803416209,-0.0933949058334982,0.132595007003949,0.0794370188826109,-0.0808232231240724
"OXOPROLINE",-0.0336959521352095,0.046524951421893,0.0603688447997422,0.0663003411789246,0.0345358584643856,-0.0835602288283804,-0.0290032518584129,-0.00673904850113992,-0.0358772353214428,0.0407813778403615,0.136813163072069,-0.212252752010561,-0.0206430900974763,0.0832770473904432,0.0773285421383107,-0.0123640911608517
"P-OCTOPAMINE",0.0176661686494006,-0.0683165998079194,0.0274520314643189,0.155277833410849,-0.0865504190278018,-0.095270541199451,0.207297930897091,-0.17256530355662,-0.171643977700185,0.129413015597636,0.0788728354257778,-0.21520506258144,-0.0963602473368936,-0.159499766303251,0.147172114138077,0.0850266177807094
"PANTOTHENATE",0.0257012412437713,-0.00286735180064341,-0.0127640065949988,-0.0846918453705629,0.0332977906627301,0.00626275045969227,0.0223345312305768,0.124120439075423,0.0411831302132489,-0.0852297323292494,0.0450472621385577,0.130112413912229,-0.124596120847982,0.0198965024270829,-0.170199696876246,0.0448698219727681
"PHENYLALANINE",-0.0594844722520554,-0.0198639175192529,0.0386836482251546,-0.057315627790055,-0.0215174817114286,0.0178214919413399,-0.0358355194859082,-0.0108159879821122,-0.0203526947936712,-0.027846943770467,-0.0812941057121078,-0.015431734334809,-0.0534315152159562,-0.0204893408357179,0.101515711123948,0.0836667156616782
"PHENYLETHANOLAMINE",-0.0596128545091763,-0.0232903470682691,0.0419635859019745,-0.0589465118000361,-0.0335737389185657,0.0170528694031491,-0.0247418288927505,-0.0425988936628736,-0.032294310407922,-0.0329281351195123,-0.0541753010356924,-0.0294329942207665,-0.0410383357930907,-0.019578516733633,0.0899407097998947,0.0746636132597736
"PHOSPHORYLCHOLINE",0.0718246214420784,0.023675151245869,-0.0350917461640363,-0.0497876551080935,0.100455965424383,-0.0141403976939372,0.132087671133678,0.0355472353853796,-0.0232905132716592,0.0769902870783017,0.0922319480146315,0.0535732354587606,0.0703838843860719,0.14945505269261,0.0728395106285696,-0.342448625109697
"PROLINE",0.0724750307918517,0.0594738943891525,0.0451106239620351,-0.071764572106546,-0.019069249833838,0.00202244416465834,-0.0336296982890157,-0.0885495442044121,0.0376983522692872,-0.0312019457712384,-0.0334957004097724,-0.00612763547920087,-0.0507359437573683,-0.292382663167176,-0.138863393494892,-0.18749602049113
"PUTRESCINE",0.0359258293262262,0.234224617675947,0.0954083951511828,-0.0468283757886226,-0.0242673587990046,-0.00267693023571824,-0.0136817144048578,-0.0236540910439836,0.0235484295501727,0.131991640184954,-0.0653934425706801,0.00481037409319625,0.104494571676342,0.0724052197947042,-0.0270527051044354,0.122549955159418
"PYRIDOXAMINE",-0.0590309013764025,-0.00823531991179616,-0.103771511140785,0.0564006395473096,-0.0527774826778989,0.151422749230088,-0.0575152848395566,0.106095191509973,0.0501599303960319,0.0360565648171845,0.0176659475865488,0.0562018278243792,-0.118304912387195,-0.328494412867348,-0.0521900361366978,0.0403019343745404
"PYROGLUTAMATE",-0.0035993189138896,0.109093194297481,0.0292237277651878,0.0371025903577521,0.0560262099441734,-0.0567684763445616,0.0362119391283351,-0.00241550132623273,-0.0301978509666722,0.0387515543070421,0.0462693609494307,-0.15339586510858,-0.0354915507777746,-0.038329152909541,-0.129838152178347,-0.0936198682545798
"RIBOFLAVIN",-0.0384682165698339,-0.0105705215220395,-0.00933028193507321,0.0305516210234706,0.152786249300786,-0.114701463906789,-0.0725036711097871,0.135609545338888,-0.194454623124136,0.127908429775625,0.195950510531301,-0.164046887124548,0.098200917424645,0.075268785431509,0.0933307038427289,0.229093881271085
"S-ADENOSYLHOMOCYSTEINE",-0.0336103839619207,0.0368749305313239,-0.133497459549705,0.0536740127200573,-0.112141295569417,0.0830772542559377,-0.0913828182572286,0.0397223811229797,0.0286063173813062,-0.0405721852551087,-0.115325386674046,-0.0889013561091338,0.183042896944342,-0.00227310204647003,0.0108747285834133,0.0856711253739519
"S-ADENOSYLMETHIONINE",0.109994566910607,0.0269162955119059,-0.0296705265891913,0.0130903404179856,-0.0286793178093962,-0.0587021742935168,-0.0662048404873525,0.00988263445211653,0.0334501683929279,0.0631654405664924,-0.0231505447009957,-0.0335030695570375,0.0748547745124364,-0.11214860121213,-0.087280156116867,0.149149254607686
"SEBACATE",0.0662441424184514,-0.10792907147543,0.0474023919941649,-0.124912607252248,0.00172713467496019,0.0692834490161586,0.112751997943682,0.0138575059200567,-0.142721619558337,-0.086746585493875,0.00943952741261319,-0.031645005468269,0.15466986468434,0.065446030136864,-0.165030189113178,-0.0680282703852101
"SERINE",-0.0223900280049923,0.0340285529856538,0.0245553050617705,-0.0614096402822095,-0.00647465996466512,-0.00530833065214238,0.034090013948732,0.000974179239043601,-0.0192967149045025,-0.0175249772490514,0.182577921084453,-0.0938237911480749,-0.00274606112301538,-0.13089963903254,0.0432732659179071,-0.00795956028981645
"SPERMIDINE",0.0999120679147978,-0.0986703045893613,-0.126921553991236,-0.0114314392450566,0.00704655676284328,0.0348591620906077,0.0466471636178233,0.0971097209921379,-0.197800351210006,0.00946819721348314,-0.0173157206447586,-0.0272493556185011,0.0376893062232164,-0.0965833179095612,-0.0633331872343745,0.129436000009605
"SPERMINE",0.107296427961178,-0.192736924654865,-0.168829797535915,-0.0126383328542203,0.0858824601961254,0.143421737013278,-7.24427075406677e-05,0.119169959912636,-0.183237880676771,0.0254494510996727,-0.0999405868035417,-0.0402682903653667,-0.108928586582296,-0.114715576199734,-0.0757398415722991,-0.015715515708284
"THIAMINE",-0.088781497921199,0.169541766230541,-0.217930216003073,0.203657313837492,-0.125178693661444,-0.150629258489742,-0.0255220519019211,0.00408987766693243,-0.114166743587041,0.182493557650057,0.134939053048619,0.0252176830735643,0.00831054284054071,0.0170980998915951,0.116534598329893,-0.0625883251886839
"THIAMINE MONOPHOSPHATE",-0.00109685409072655,-0.0357501657918586,-0.168619015540373,-0.00219830676050127,0.0859417299320895,-0.169402111225844,-0.155802940199557,0.00471464323936144,0.020758981336052,0.225965133218842,0.209842442346014,0.0347045206296772,0.104547826529168,-0.0892908360223735,-0.0436125706415317,-0.182342006121726
